kind,id,phrase,response,uart_hex,action
wake,0,小爱同学,叫我干嘛，又不是很想理你。,,仅唤醒
command,1,停下来,哼，本来就没想动。,A5 5A 01 FE,取消当前运动
command,2,向前走,让开，我只走半米。,A5 5A 02 FD,前进0.5米
command,3,向后走,你最好不是故意使唤我。,A5 5A 03 FC,后退0.5米
command,4,向左走,左边勉强能走。,A5 5A 04 FB,左移0.5米
command,5,向右走,行吧，往右挪一点。,A5 5A 05 FA,右移0.5米
command,6,转个圈,看好了，只转一次。,A5 5A 06 F9,旋转360度
command,7,睡觉,终于可以不陪你玩了。,A5 5A 07 F8,进入睡眠
command,8,起床,知道了，我醒着呢。,A5 5A 08 F7,退出睡眠
command,9,卖个萌,只给你看一次。,A5 5A 09 F6,开心表情
command,10,唱首歌,只唱一小段，听好了。,A5 5A 0A F5,蜂鸣器音乐
command,11,你开心吗,一般般，也就比刚才开心一点。,A5 5A 0B F4,快乐状态
command,12,报告状态,状态已经显示，自己看。,A5 5A 0C F3,传感器页面
external,128,强光警告,谁拿手电筒照我，我走还不行吗。,5A A5 80 7F,STC触发播报
